zone_pickup	zone_dropoff	trip_distance
Allerton/Pelham Gardens	JFK	17.371538461538464
Allerton/Pelham Gardens	LGA	12.797142857142857
Alphabet City	JFK	17.8704657933042
Alphabet City	LGA	10.800907258064512
Alphabet City	EWR	16.00595238095238
Arden Heights	JFK	34.61
Arden Heights	LGA	33.46
Arden Heights	EWR	14.2
Arrochar/Fort Wadsworth	JFK	24.506
Arrochar/Fort Wadsworth	LGA	21.580000000000002
Arrochar/Fort Wadsworth	EWR	16.233333333333334
Astoria	JFK	14.562430858806401
Astoria	LGA	3.7174371859296453
Astoria	EWR	25.86941176470588
Astoria Park	JFK	14.125625
Astoria Park	LGA	5.14
Astoria Park	EWR	28.4
Auburndale	JFK	11.522000000000002
Auburndale	LGA	6.581111111111111
Baisley Park	JFK	4.306649076517148
Baisley Park	LGA	9.527704918032786
Baisley Park	EWR	33.006666666666675
Bath Beach	JFK	18.24444444444444
Bath Beach	EWR	19.416000000000004
Battery Park	JFK	22.54271698113209
Battery Park	LGA	13.945179153094454
Battery Park	EWR	15.421756756756757
Battery Park City	JFK	23.376690408820455
Battery Park City	LGA	14.725395868558447
Battery Park City	EWR	15.04500535217301
Bay Ridge	JFK	20.512000000000004
Bay Ridge	LGA	17.3596875
Bay Ridge	EWR	21.37363636363636
Bay Terrace/Fort Totten	JFK	15.4
Bay Terrace/Fort Totten	LGA	7.414999999999999
Bayside	JFK	13.136000000000001
Bayside	LGA	8.93375
Bedford	JFK	12.749411764705886
Bedford	LGA	10.262156862745098
Bedford	EWR	20.805714285714288
Bedford Park	JFK	21.388333333333332
Bedford Park	LGA	11.925555555555555
Bedford Park	EWR	26.65
Bellerose	JFK	10.394166666666667
Bellerose	LGA	11.927142857142856
Belmont	JFK	20.259999999999998
Belmont	LGA	12.0775
Bensonhurst East	JFK	17.519000000000002
Bensonhurst East	LGA	22.095
Bensonhurst West	JFK	19.54111111111111
Bensonhurst West	LGA	18.485
Bensonhurst West	EWR	19.6
Bloomfield/Emerson Hill	JFK	30.26
Bloomfield/Emerson Hill	EWR	8.163333333333332
Bloomingdale	JFK	19.08629433562726
Bloomingdale	LGA	8.568617511520726
Bloomingdale	EWR	22.399433962264162
Boerum Hill	JFK	16.201108695652177
Boerum Hill	LGA	10.969490196078436
Boerum Hill	EWR	17.65537037037037
Borough Park	JFK	19.24416666666667
Borough Park	LGA	15.930000000000001
Breezy Point/Fort Tilden/Riis Beach	JFK	15.01
Briarwood/Jamaica Hills	JFK	6.8890659340659335
Briarwood/Jamaica Hills	LGA	7.157027027027027
Briarwood/Jamaica Hills	EWR	31.795714285714286
Brighton Beach	JFK	14.795833333333334
Brighton Beach	LGA	21.427999999999997
Brighton Beach	EWR	23.71
Broad Channel	JFK	8.205
Bronx Park	JFK	19.813333333333333
Bronxdale	JFK	23.735
Bronxdale	LGA	12.344
Brooklyn Heights	JFK	18.571864181091897
Brooklyn Heights	LGA	10.80458878504673
Brooklyn Heights	EWR	17.590465116279073
Brooklyn Navy Yard	JFK	17.713333333333335
Brooklyn Navy Yard	LGA	9.573333333333332
Brownsville	JFK	7.891034482758621
Brownsville	LGA	9.838
Bushwick North	JFK	13.379090909090907
Bushwick North	LGA	9.684666666666667
Bushwick North	EWR	18.4
Bushwick South	JFK	11.465531914893623
Bushwick South	LGA	8.762857142857142
Bushwick South	EWR	21.132500000000004
Cambria Heights	JFK	6.798048780487804
Cambria Heights	LGA	14.120909090909093
Canarsie	JFK	8.913111111111109
Canarsie	LGA	15.975454545454545
Canarsie	EWR	28.394999999999996
Carroll Gardens	JFK	21.53924812030076
Carroll Gardens	LGA	12.13464864864865
Carroll Gardens	EWR	19.633939393939393
Central Harlem	JFK	18.027331632653066
Central Harlem	LGA	7.504231418918904
Central Harlem	EWR	24.042046511627905
Central Harlem North	JFK	18.06354679802955
Central Harlem North	LGA	7.500697084917623
Central Harlem North	EWR	25.588720930232554
Central Park	JFK	18.559469172049383
Central Park	LGA	9.840635649849636
Central Park	EWR	19.390327552986523
Chinatown	JFK	18.302349397590387
Chinatown	LGA	12.001431079894646
Chinatown	EWR	16.71545691906006
City Island	JFK	21.52
Claremont/Bathgate	JFK	21.385
Claremont/Bathgate	LGA	13.036666666666667
Clinton East	JFK	17.903874485964682
Clinton East	LGA	11.09166143831855
Clinton East	EWR	17.60387362289471
Clinton Hill	JFK	14.185057471264372
Clinton Hill	LGA	9.813333333333336
Clinton Hill	EWR	18.264444444444443
Clinton West	JFK	19.232753044519857
Clinton West	LGA	12.05198644852088
Clinton West	EWR	17.110603403816402
Co-Op City	JFK	17.776666666666667
Co-Op City	LGA	11.351578947368424
Cobble Hill	JFK	19.01018587360596
Cobble Hill	LGA	11.733509272467911
Cobble Hill	EWR	19.87301886792453
College Point	JFK	11.942222222222222
College Point	LGA	3.1286363636363634
Columbia Street	JFK	22.14428571428571
Columbia Street	LGA	12.776
Columbia Street	EWR	17.77
Coney Island	JFK	15.888181818181819
Coney Island	LGA	17.335
Coney Island	EWR	22.09
Corona	JFK	14.187600000000005
Corona	LGA	4.559523809523808
Corona	EWR	24.047499999999996
Country Club	JFK	17.46
Country Club	LGA	9.626000000000001
Crotona Park East	JFK	18.374
Crotona Park East	LGA	9.909999999999998
Crown Heights North	JFK	10.709576271186439
Crown Heights North	LGA	11.766168224299065
Crown Heights North	EWR	18.617058823529415
Crown Heights South	JFK	11.767608695652173
Crown Heights South	LGA	12.025833333333333
Crown Heights South	EWR	26.3
Cypress Hills	JFK	6.144827586206896
Cypress Hills	LGA	13.226666666666667
DUMBO/Vinegar Hill	JFK	18.188856015779102
DUMBO/Vinegar Hill	LGA	10.638780487804878
DUMBO/Vinegar Hill	EWR	17.069999999999997
Douglaston	JFK	10.835714285714285
Douglaston	LGA	12.540000000000001
Douglaston	EWR	30.3
Downtown Brooklyn/MetroTech	JFK	17.621845827439884
Downtown Brooklyn/MetroTech	LGA	10.257665890570435
Downtown Brooklyn/MetroTech	EWR	16.755243902439027
Dyker Heights	JFK	19.344
Dyker Heights	LGA	16.58
Dyker Heights	EWR	16.822499999999998
East Chelsea	JFK	17.892299394896074
East Chelsea	LGA	10.80851655629137
East Chelsea	EWR	16.780277953253286
East Concourse/Concourse Village	JFK	19.8704
East Concourse/Concourse Village	LGA	8.2964
East Elmhurst	JFK	10.675815438189197
East Elmhurst	LGA	1.3827916666666673
East Elmhurst	EWR	32.62599999999999
East Flatbush/Farragut	JFK	11.408717948717948
East Flatbush/Farragut	LGA	14.9875
East Flatbush/Remsen Village	JFK	9.077777777777776
East Flatbush/Remsen Village	LGA	13.853636363636365
East Flushing	JFK	11.577142857142858
East Flushing	LGA	4.995
East Harlem North	JFK	17.02629468599031
East Harlem North	LGA	6.612521268368159
East Harlem North	EWR	25.63507692307692
East Harlem South	JFK	18.120590479651153
East Harlem South	LGA	7.841517125446528
East Harlem South	EWR	23.443450479233235
East New York	JFK	6.668876404494385
East New York	LGA	14.203333333333333
East New York	EWR	28.03333333333333
East New York/Pennsylvania Avenue	JFK	8.57095238095238
East New York/Pennsylvania Avenue	LGA	11.05
East Tremont	JFK	15.204999999999998
East Tremont	LGA	9.833750000000002
East Tremont	EWR	31.2
East Village	JFK	17.63036371325861
East Village	LGA	10.417601847465667
East Village	EWR	15.257603594608096
East Williamsburg	JFK	14.604607508532421
East Williamsburg	LGA	7.7535185185185185
East Williamsburg	EWR	18.938181818181818
Eastchester	JFK	16.156666666666666
Eastchester	LGA	13.687142857142858
Elmhurst	JFK	11.252019704433497
Elmhurst	LGA	3.666752688172049
Elmhurst	EWR	29.035
Elmhurst/Maspeth	JFK	11.616214285714278
Elmhurst/Maspeth	LGA	4.039545454545456
Elmhurst/Maspeth	EWR	23.089999999999996
Erasmus	JFK	12.668
Erasmus	LGA	15.11
Erasmus	EWR	21.65
Far Rockaway	JFK	8.615
Far Rockaway	LGA	16.675
Financial District North	JFK	20.344503866681297
Financial District North	LGA	13.314632602655061
Financial District North	EWR	15.917245228664017
Financial District South	JFK	21.280347058823576
Financial District South	LGA	13.663467981838126
Financial District South	EWR	15.864116094986823
Flatbush/Ditmas Park	JFK	15.333000000000002
Flatbush/Ditmas Park	LGA	16.136585365853655
Flatbush/Ditmas Park	EWR	22.71
Flatiron	JFK	17.758860705073115
Flatiron	LGA	10.496249836151536
Flatiron	EWR	15.700684872128269
Flatlands	JFK	12.167941176470586
