zone_pickup	zone_dropoff	hour	conditions	trip_delay
Allerton/Pelham Gardens	JFK Airport	3	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	3	Partially cloudy	0.0
Allerton/Pelham Gardens	JFK Airport	4	Rain, Partially cloudy	0.0
Allerton/Pelham Gardens	JFK Airport	6	Partially cloudy	0.0
Allerton/Pelham Gardens	JFK Airport	7	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	7	Overcast	0.0
Allerton/Pelham Gardens	JFK Airport	8	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	9	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	9	Partially cloudy	0.0
Allerton/Pelham Gardens	JFK Airport	10	Rain, Partially cloudy	0.0
Allerton/Pelham Gardens	JFK Airport	13	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	16	Clear	0.0
Allerton/Pelham Gardens	JFK Airport	19	Clear	0.0
Allerton/Pelham Gardens	LaGuardia Airport	3	Partially cloudy	0.3333333333333333
Allerton/Pelham Gardens	LaGuardia Airport	5	Clear	0.5
Allerton/Pelham Gardens	LaGuardia Airport	17	Partially cloudy	0.0
Allerton/Pelham Gardens	LaGuardia Airport	18	Overcast	0.0
Alphabet City	JFK Airport	1	Rain, Partially cloudy	0.0
Alphabet City	JFK Airport	2	Partially cloudy	0.5
Alphabet City	JFK Airport	2	Rain, Partially cloudy	0.0
Alphabet City	JFK Airport	3	Clear	0.0
Alphabet City	JFK Airport	4	Clear	0.5
Alphabet City	JFK Airport	4	Overcast	0.5
Alphabet City	JFK Airport	4	Partially cloudy	0.5
Alphabet City	JFK Airport	4	Rain, Overcast	0.0
Alphabet City	JFK Airport	4	Rain, Partially cloudy	0.0
Alphabet City	JFK Airport	5	Clear	0.4666666666666667
Alphabet City	JFK Airport	5	Overcast	0.4
Alphabet City	JFK Airport	5	Partially cloudy	0.5
Alphabet City	JFK Airport	5	Rain, Overcast	0.0
Alphabet City	JFK Airport	5	Rain, Partially cloudy	0.5
Alphabet City	JFK Airport	5	Snow, Overcast	0.0
Alphabet City	JFK Airport	6	Clear	0.5
Alphabet City	JFK Airport	6	Overcast	0.0
Alphabet City	JFK Airport	6	Partially cloudy	0.46153846153846156
Alphabet City	JFK Airport	6	Rain, Overcast	0.5
Alphabet City	JFK Airport	6	Rain, Partially cloudy	0.5
Alphabet City	JFK Airport	7	Clear	0.5
Alphabet City	JFK Airport	7	Overcast	0.5
Alphabet City	JFK Airport	7	Partially cloudy	0.5
Alphabet City	JFK Airport	7	Rain, Overcast	0.3333333333333333
Alphabet City	JFK Airport	7	Rain, Partially cloudy	0.3333333333333333
Alphabet City	JFK Airport	7	Snow, Overcast	0.0
Alphabet City	JFK Airport	7	Snow, Partially cloudy	0.0
Alphabet City	JFK Airport	8	Clear	0.45454545454545453
Alphabet City	JFK Airport	8	Overcast	0.3333333333333333
Alphabet City	JFK Airport	8	Partially cloudy	0.47368421052631576
Alphabet City	JFK Airport	8	Rain, Overcast	0.5
Alphabet City	JFK Airport	8	Snow, Overcast	0.0
Alphabet City	JFK Airport	9	Clear	0.5
Alphabet City	JFK Airport	9	Overcast	0.3333333333333333
Alphabet City	JFK Airport	9	Partially cloudy	0.5
