cname	symbol	year_added
3M	MMM	1976
American Express	AXP	1982
Amgen	AMGN	2020
Apple Inc.	AAPL	2015
Boeing	BA	1987
Caterpillar	CAT	1991
Chevron	CVX	2008
Cisco Systems	CSCO	2009
The Coca-Cola Company	KO	1987
Dow Inc.	DOW	2019
Goldman Sachs	GS	2013
The Home Depot	HD	1999
Honeywell	HON	2020
IBM	IBM	1979
Intel	INTC	1999
Johnson & Johnson	JNJ	1997
JPMorgan Chase	JPM	1991
McDonald's	MCD	1985
Merck & Co.	MRK	1979
Microsoft	MSFT	1999
NIKE	NKE	2013
Proctor & Gamble	PG	1932
Salesforce	CRM	2020
The Travelers Companies	TRV	2009
UnitedHealth Group	UNH	2012
Verizon	VZ	2004
Visa	V	2013
Walmart	WMT	1997
Walgreens Boots Alliance	WBA	2018
The Walt Disney Company	DIS	1991
